id,name,code,user_type_id/id,reconcile
pcg_94111,Clients : Ventes de biens et services,941110,account.data_account_type_receivable,True
pcg_94114,Clients : Autres créances diverses,941140,account.data_account_type_receivable,True
pcg_94117,Clients : Retenues de garantie,941170,account.data_account_type_receivable,True
pcg_97001,Marchandises (ou groupe) A,970001,account.data_account_type_revenue,False
pcg_97002,Marchandises (ou groupe) B,970002,account.data_account_type_revenue,False
pcg_97011,Ventes de Produit fini (ou groupe) – PF1,970110,account.data_account_type_revenue,False
pcg_97012,Ventes de Produit fini (ou groupe) – PF2,970120,account.data_account_type_revenue,False
pcg_97013,Ventes de Produit fini (ou groupe) – PF3,970130,account.data_account_type_revenue,False
pcg_3512, Paiements ND,951200,account.data_account_type_current_assets,True
